n,t
1000,0.000004
1100,0.000034
1200,0.000005
1300,0.000005
1400,0.000005
1500,0.000006
1600,0.000006
1700,0.000007
1800,0.000007
1900,0.000007
2000,0.000008
2100,0.000008
2200,0.000008
2300,0.000009
2400,0.000009
2500,0.000010
2600,0.000010
2700,0.000011
2800,0.000011
2900,0.000012
3000,0.000012
3100,0.000012
3200,0.000012
3300,0.000013
3400,0.000013
3500,0.000014
3600,0.000014
3700,0.000014
3800,0.000015
3900,0.000015
4000,0.000016
4100,0.000016
4200,0.000016
4300,0.000017
4400,0.000017
4500,0.000017
4600,0.000018
4700,0.000018
4800,0.000019
4900,0.000019
5000,0.000020
5100,0.000020
5200,0.000020
5300,0.000021
5400,0.000033
5500,0.000021
5600,0.000021
5700,0.000022
5800,0.000022
5900,0.000023
6000,0.000023
6100,0.000025
6200,0.000025
6300,0.000024
6400,0.000024
6500,0.000025
6600,0.000025
6700,0.000029
6800,0.000026
6900,0.000026
7000,0.000027
7100,0.000025
7200,0.000025
7300,0.000025
7400,0.000026
7500,0.000026
7600,0.000026
7700,0.000026
7800,0.000027
7900,0.000028
8000,0.000028
8100,0.000028
8200,0.000029
8300,0.000028
8400,0.000028
8500,0.000029
8600,0.000030
8700,0.000031
8800,0.000032
8900,0.000029
9000,0.000029
9100,0.000029
9200,0.000030
9300,0.000030
9400,0.000031
9500,0.000031
9600,0.000031
9700,0.000032
9800,0.000032
9900,0.000032
